分P编号：20
视频标题：020第18期 选择性必修2 第三单元 商业贸易与日常生活 第9课（2） 人类生活中的国际贸易与国际金融（上）
内容总结：
# B站高中历史选必二课程结构化总结
本视频为2026版高中历史选择性必修二（《经济与社会生活》）第18期课程，主题为第三单元第9课（2）《人类生活中的国际贸易与国际金融（上）》，附带配套讲义，面向高二学生，内容分为三大逻辑模块，总结如下：

---

## 要点一：三大高频易错知识点辨析
针对本节课易混淆的核心概念，纠正错误表述并明确正确知识点：
1.  **混淆货币体系与贸易体系的建立标志**
    - 错误表述：布雷顿森林体系标志着以美国为中心的资本主义世界贸易体系形成
    - 正确结论：布雷顿森林体系建立的是以美元为中心的**世界货币体系**；1947年签署的关税与贸易总协定（关贸总协定）才是标志以美国为中心的资本主义世界贸易体系形成的事件。
    - 误区本质：混淆了二战后世界经济体系中货币体系与贸易体系的不同建立标识。
2.  **混淆两大国际金融机构的贷款职能**
    - 错误表述：国际货币基金组织和世界银行都可给成员国贷款，二者无区别
    - 正确结论：二者均可提供贷款，但职能差异明确：
      - 国际货币基金组织：提供**短期贷款**，针对国际收支暂时困难、爆发金融危机、货币汇率混乱的成员国；
      - 世界银行：提供**长期甚至无息贷款**，用于全球性发展援助项目。
    - 误区本质：未掌握布雷顿森林体系配套两大金融机构的核心宗旨与贷款类型。
3.  **误判布雷顿森林体系的汇率挂钩规则**
    - 错误表述：布雷顿森林体系的内容是国际货币基金组织会员国货币与黄金挂钩，保持固定汇率
    - 正确结论：布雷顿森林体系的核心汇率规则是**美元与黄金直接挂钩**（固定35美元兑换1盎司黄金），会员国货币与美元挂钩，进而保持与美元的固定汇率。
    - 误区本质：搞反了挂钩的核心主体，误将成员国货币与黄金直接绑定。

---

## 要点二：历史选择题解题方法与典型例题精讲
先讲解通用解题逻辑，再结合例题巩固知识点：
1.  **通用解题方法：一读二抓三筛四判**
    - 一读：通读题干材料，理解核心语境；
    - 二抓：抓取材料关键词与设问要求；
    - 三筛：逐一排除表述绝对、与材料无关、史实错误的选项；
    - 四判：确定符合材料与史实的正确选项。
2.  **例题1：国际金融组织对全球化的影响**
    - 考点：国际金融组织与经济全球化的关联
    - 题干核心：国际金融组织让全球化交易减少政府管控，对全球金融活动影响降低
    - 错误选项排除：
      - A项“经济活动由全球关系取代国家间关系”：“取代”表述绝对，材料仅体现管控弱化而非完全取代；
      - C项“政府态度阻碍全球化”：材料未提及政府态度，仅讨论国际金融组织的作用；
      - D项“民族国家功能消失”：表述绝对，民族国家职能依然存在。
    - 正确选项B：国际金融组织推动全球经济发展，符合材料中“降低政府管控、促进全球化交易”的核心信息。
3.  **例题2：二战后世界经济体系的制度化转型**
    - 考点：二战后资本主义世界经济体系的制度化影响
    - 题干核心：全球化从“自发阶段”进入“自觉阶段”的依据
    - 错误选项排除：
      - B项“资本主义世界体系最终形成”：资本主义世界体系包含政治、经济、殖民体系，二战后殖民体系瓦解，且题干仅涉及经济领域；
      - C项“大国由战时合作转向战后对抗”：材料未涉及大国关系变化；
      - D项“资本主义与社会主义经济联系密切”：二战后美苏冷战，两大阵营经济对立，联系并不密切。
    - 正确选项A：“经济合作的体系化建设出现突破”，对应国际货币基金组织、世界银行、关贸总协定的建立，让世界经济从无序走向制度化、体系化。
4.  **例题3：布雷顿森林体系瓦解后的国际货币体系变化**
    - 考点：20世纪70年代国际货币体系的转型
    - 题干核心：1971年美元债务危机、浮动汇率制普及、欧洲与日本金融势力崛起
    - 错误选项排除：
      - A项“美国失去世界经济霸主地位”：70年代美国虽遭遇滞胀，但仍保持世界经济霸主地位；
      - C项“区域经济合作日益占据主导”：材料聚焦国际货币体系，未提及区域经济合作的主导地位；
      - D项“资本主义世界经济体系走向瓦解”：仅布雷顿森林体系（货币体系）瓦解，整体资本主义世界经济体系并未崩溃。
    - 正确选项B：“国际货币体系逐渐走向了多元化”，对应美元霸权弱化、多国/区域金融势力崛起、浮动汇率制普及的史实。

---

## 要点三：本节课核心知识归纳与高考备考指引
1.  **核心知识框架**：本节课围绕“国际贸易与国际金融对人类生活的影响”展开，核心内容包括：
    - 国际贸易体系的建立、发展历程与影响；
    - 国际金融机构（国际货币基金组织、世界银行）的建立、职能与影响；
    - 二者共同推动了世界经济全球化进程。
2.  **中国的实践体现**：中国主动融入全球化的具体表现包括2001年加入世贸组织、电子商务快速发展、人民币成为国际储备货币，体现中国对世界经济的贡献。
3.  **重点与难点**：
    - 重点：国际贸易体系、国际金融组织的建立标志与核心内容；
    - 难点：国际贸易与国际金融发展对世界经济、人类生活的影响。
4.  **备考提示**：本模块内容是高考高频考点，常结合现实经济热点命题，既会出选择题也会出材料题，需重点掌握体系建立的标志、机构职能、核心影响，针对性备考。
